0.07,-0.31,0.90,-10.18,-6.32,13.88
0.10,-0.28,0.89,-9.50,-7.60,12.18
0.12,-0.23,0.85,-9.62,-9.51,10.02
0.14,-0.22,0.81,-10.24,-11.15,8.26
0.14,-0.19,0.79,-12.29,-12.37,5.62
0.14,-0.18,0.75,-16.26,-12.96,2.41
0.12,-0.19,0.75,-21.54,-14.20,-0.34
0.09,-0.21,0.76,-23.73,-16.73,-1.71
0.08,-0.22,0.78,-23.86,-18.63,-1.80
0.10,-0.22,0.78,-23.94,-18.23,-1.31
0.15,-0.17,0.75,-23.76,-13.71,1.40
0.14,-0.14,0.72,-27.10,-7.01,5.48
0.08,-0.16,0.75,-32.21,-0.15,9.27
0.10,-0.18,0.77,-36.52,1.95,8.64
0.10,-0.24,0.79,-42.93,2.21,4.53
0.07,-0.31,0.86,-43.88,-2.32,0.49
0.05,-0.35,0.90,-38.29,-10.61,0.37
0.05,-0.34,0.91,-34.72,-13.73,5.97
0.09,-0.34,0.92,-32.03,-12.37,14.46
0.23,-0.32,0.89,-32.26,-4.44,20.46
0.34,-0.26,0.82,-40.09,4.61,18.61
0.30,-0.30,0.84,-50.46,5.86,11.16
0.22,-0.39,0.92,-57.08,-6.41,5.39
0.16,-0.52,0.95,-48.67,-10.95,8.37
0.20,-0.50,0.95,-47.73,-5.80,10.99
0.22,-0.50,0.94,-45.59,-2.37,13.39
0.27,-0.51,0.94,-41.92,-0.58,17.19
0.35,-0.49,0.90,-39.02,1.33,14.09
0.37,-0.49,0.89,-40.63,6.26,4.95
0.25,-0.55,0.91,-41.44,6.60,-4.26
0.09,-0.62,1.00,-37.02,1.79,-6.11
0.04,-0.64,0.99,-30.08,-1.44,0.67
0.06,-0.63,0.99,-24.41,0.15,11.79
0.10,-0.58,0.94,-20.17,4.75,22.90
0.18,-0.54,0.88,-18.70,10.99,30.60
0.27,-0.52,0.84,-20.93,14.52,26.12
0.32,-0.50,0.83,-27.47,10.95,8.24
0.25,-0.51,0.87,-32.23,-1.95,-9.44
0.13,-0.55,0.92,-30.89,-17.59,-17.16
0.04,-0.64,0.99,-28.72,-23.54,-16.05
-0.02,-0.67,1.02,-24.82,-20.84,-7.07
-0.01,-0.70,1.02,-22.08,-11.40,3.77
