0.02,-0.29,1.07,1.83,-9.77,-5.01
0.03,-0.26,1.02,3.74,-8.41,-6.26
0.02,-0.21,0.98,2.69,-5.82,-6.92
-0.00,-0.20,0.95,-1.08,-3.80,-5.91
-0.00,-0.21,0.96,-4.73,0.12,-3.71
0.03,-0.22,0.97,-7.05,7.27,-2.38
0.00,-0.27,1.02,-6.58,12.92,-3.37
-0.04,-0.29,1.08,-4.64,9.54,-4.15
-0.04,-0.29,1.10,-1.60,2.67,-4.55
-0.04,-0.27,1.08,0.78,-3.60,-4.87
0.00,-0.26,1.03,1.92,-6.64,-5.73
0.01,-0.24,1.00,1.54,-7.65,-6.34
0.00,-0.21,0.98,-1.01,-7.25,-5.07
0.01,-0.20,0.98,-4.24,-4.17,-2.44
0.01,-0.21,0.98,-7.45,-0.29,-0.84
0.01,-0.25,1.01,-8.79,2.72,-0.69
-0.01,-0.29,1.05,-7.66,3.47,-2.20
-0.02,-0.29,1.07,-5.28,0.72,-3.95
0.00,-0.28,1.06,-2.64,-0.64,-4.81
0.01,-0.26,1.03,-1.45,-0.17,-5.73
0.03,-0.22,1.00,-2.38,2.18,-5.88
0.02,-0.22,1.00,-4.06,6.63,-5.27
0.01,-0.23,1.01,-6.03,9.88,-3.97
-0.01,-0.25,1.03,-7.08,12.34,-4.29
-0.05,-0.30,1.07,-3.21,-1.98,-4.75
-0.01,-0.29,1.04,-0.96,-3.89,-5.33
-0.00,-0.26,1.02,0.15,-2.55,-5.48
0.00,-0.22,0.99,-0.98,0.70,-4.56
-0.00,-0.21,0.96,-4.14,4.53,-2.49
-0.02,-0.23,1.00,-6.95,7.76,-1.08
-0.04,-0.26,1.01,-8.06,10.78,-0.52
-0.05,-0.28,1.06,-7.71,9.68,-0.46
-0.06,-0.32,1.08,-5.40,4.70,-1.82
-0.04,-0.33,1.08,-2.60,-0.40,-4.49
-0.01,-0.30,1.06,-0.14,-7.07,-7.01
0.00,-0.28,1.02,1.48,-9.36,-9.47
0.01,-0.24,0.98,0.37,-9.25,-8.61
0.01,-0.23,0.93,-2.55,-3.77,-8.15
-0.01,-0.24,0.94,-5.51,3.83,-5.31
-0.02,-0.26,0.94,-8.79,9.77,-2.50
-0.05,-0.29,0.98,-10.70,12.38,-1.47
-0.06,-0.34,1.01,-11.30,10.93,-0.81
-0.05,-0.37,1.02,-10.60,6.35,-1.30
-0.03,-0.39,1.01,-8.17,2.34,-3.11
0.00,-0.39,1.01,-5.65,-1.10,-6.34
0.04,-0.40,1.01,-3.68,-3.27,-8.92
0.05,-0.40,0.99,-1.45,-0.21,-11.94
0.03,-0.39,1.00,-0.70,1.45,-14.90
0.05,-0.42,0.98,-1.25,1.10,-16.98
0.06,-0.45,0.99,-1.68,1.42,-17.91
0.09,-0.49,1.01,-0.78,2.29,-18.60
0.06,-0.53,1.03,2.78,4.96,-22.21
0.01,-0.53,1.04,6.66,6.06,-23.42
-0.04,-0.48,1.04,11.91,8.15,-21.47
-0.09,-0.43,1.03,15.31,9.42,-16.44
-0.11,-0.40,0.97,16.92,14.50,-10.32
-0.12,-0.36,0.95,15.80,19.34,-4.95
-0.14,-0.34,0.92,10.66,18.14,-0.64
-0.16,-0.34,0.90,1.47,11.22,3.71
-0.14,-0.38,0.91,-6.99,4.11,5.54
-0.15,-0.41,0.94,-15.27,-7.33,6.06
-0.14,-0.45,0.95,-19.92,-17.62,8.47
-0.08,-0.50,1.02,-19.04,-24.82,12.84
0.04,-0.55,1.04,-14.24,-21.13,13.02
0.08,-0.58,1.01,-7.59,-10.03,10.60
0.06,-0.55,0.97,-3.01,-0.79,8.67
0.01,-0.54,0.95,-4.31,1.21,7.22
-0.07,-0.55,0.95,-7.21,-2.41,5.24
-0.13,-0.56,0.97,-7.92,-10.84,4.32
-0.18,-0.56,0.99,-4.98,-21.48,3.77
-0.19,-0.50,1.04,2.78,-37.97,4.40
-0.13,-0.42,1.01,8.60,-46.90,3.82
-0.05,-0.31,0.95,13.18,-47.92,1.85
0.01,-0.19,0.92,12.49,-48.15,2.12
0.08,-0.14,0.87,7.54,-45.82,5.11
0.21,-0.12,0.78,4.21,-26.18,4.47
0.21,-0.14,0.86,-3.53,-16.27,11.53
0.16,-0.18,0.89,-6.66,3.27,16.24
0.11,-0.18,0.96,-5.74,36.64,7.21
-0.04,-0.27,1.11,-1.74,41.69,14.12
-0.05,-0.24,1.13,9.24,45.89,8.53
-0.14,-0.16,1.20,15.65,35.34,8.09
-0.14,-0.08,1.17,16.09,8.17,7.98
